Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
Whitcomb Street Trafalgar Square Westminster Borough London WC2H 7HG United Kingdom,266,4/26/2016,8.4,Thistle Trafalgar Square The Royal Trafalgar, United Kingdom , coffee and tea of very poor quality,8,1193,No Positive,0,6,5.4,"[' Family with older children ', ' Executive Twin Room ', ' Stayed 3 nights ']",464 day,51.509133,-0.130189
Kattengat 1 Amsterdam City Center 1012 SZ Amsterdam Netherlands,348,4/29/2016,8.0,Renaissance Amsterdam Hotel, United States of America , Wouldn t honor Marriott membership since I booked thru Booking com Hotel wants to charge 30 for early check in or we had to wait three more hours for our room but That was a lie We were told three hours later that the only room available is an executive room with club lounge benifit at the cost of 100 per nite What a scam ,67,1710, The location,3,2,5.8,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",461 day,52.377955,4.894641
100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,404,6/12/2017,8.6,Ace Hotel London Shoreditch, United Kingdom , All good ,4,1593, We loved our stay we were at an event in Old Spitalfields Market so very near by Loved the record player in our room hotel and room design were great really friendly and playful staff for breakfast with our little 5 yo thanks Tracey our cool french waitress May have to be my business stay of choice from now on ,62,8,9.6,"[' Business trip ', ' Family with young children ', ' Superior Double Room with Two Double Beds ', ' Stayed 1 night ']",52 days,51.5254162,-0.0772849
9 13 Bloomsbury Street Nr Covent Garden Camden London WC1B 3QD United Kingdom,392,8/30/2015,8.6,Radisson Blu Edwardian Bloomsbury Street, Croatia , There is no towel in front of shower to stand after the bath ,15,1641, Location staff ,4,5,7.9,"[' Leisure trip ', ' Family with older children ', ' Deluxe King Room ', ' Stayed 9 nights ']",704 day,51.517608,-0.1276253
Caspe 103 Eixample 08013 Barcelona Spain,312,7/30/2016,8.5,Ayre Hotel Caspe, United States of America , The bed lacked any kind of pillow top cushion that we found in our other hotels around Spain ,20,3442, Marc at the front desk was very helpful directing us to points of interest He was also very helpful with parking ,23,7,8.8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",369 day,41.3961021,2.1794688
Breite Gasse 9 07 Neubau 1070 Vienna Austria,199,11/29/2015,8.4,Hotel ViennArt am Museumsquartier, Canada , Not very comfortable beds and semi hostel like feel ,11,2692, Location is perfect and staff give good advice Museums and restaurants on doorstep ,15,5,7.1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",613 day,48.2035677,16.356445
Gran Via 550 Eixample 08011 Barcelona Spain,167,12/14/2016,8.8,Hotel Vueling Bcn by HC, United Arab Emirates , Room size very smal,5,1696, Location,2,1,6.7,"[' Leisure trip ', ' Solo traveler ', ' Double Room with Terrace ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",232 day,41.3831641,2.1604736
98 Avenue d Italie 13th arr 75013 Paris France,58,6/1/2016,7.5,Best Western Amiral Hotel, United Kingdom , Breakfast wasn t worth the money of 15 per person ,12,1173, Overall the hotel was OK The bed was comfortable and our room had a balcony and the swimming pool although cold added a bit of luxury Breakfast was not great often ran out of food We had to pay extra for parking which increased our hotel expenses a great deal but the location was convenient as it was close to a metro ,64,15,5.8,"[' Leisure trip ', ' Couple ', ' Business Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",428 day,48.8252307,2.3569005
Via Gaetano Airaghi 125 20153 Milan Italy,229,3/7/2017,6.9,Idea Hotel Milano San Siro, United Kingdom , Had to pay extra for air con as rooms very warm A it too far out of town ,20,5742,No Positive,0,8,4.6,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",149 day,45.4720654,9.0777871
Royal Victoria Dock Western Gateway Newham London E16 1AL United Kingdom,879,10/20/2015,8.8,Crowne Plaza London Docklands, United Kingdom ,No Negative,0,2768, Everything the hotel had thought of everything great attention to detail such as lemon water dispenser and ice machines on the hotel corridor but the best has to be the breakfast simply fantastic we will stay again ,39,2,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",653 day,51.5083537,0.0198855
Piazza Fontana 3 Milan City Center 20122 Milan Italy,563,2/15/2017,8.6,Rosa Grand Milano Starhotels Collezione, Kuwait , Nothing,2,4000, Everything,2,2,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",169 day,45.4638223,9.1940273
2 24 Kensington High St Kensington and Chelsea London W8 4PT United Kingdom,617,3/16/2016,8.8,Royal Garden Hotel, Egypt ,No Negative,0,2213, Location cleanliness staff rooms are perfect,7,17,10.0,"[' Business trip ', ' Couple ', ' King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",505 day,51.5027022,-0.1882164
Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,391,3/8/2016,8.8,Ayre Hotel Gran V a, Ireland , Room refurbished drilling noise with only one room between my room worst on first day afternoon was offered another room but declined as I was gone in daytime no noise in evening ,34,4887, Excellent breakfast good location friendly staff,7,1,8.3,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 3 nights ']",513 day,41.3732462,2.1474351
20 rue du Sommerard 5th arr 75005 Paris France,28,11/23/2016,8.0,Mercure Paris Notre Dame Saint Germain des Pr s, United Kingdom , This is not a 4 star hotel as advertised Overall disappointed with quality ,15,268,No Positive,0,1,6.7,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",253 day,48.8503074,2.3450612
5 rue du 8 Mai 1945 10th arr 75010 Paris France,710,10/27/2015,7.9,Holiday Inn Paris Gare de l Est, United Kingdom ,No Negative,0,6511, the beds are really comfy the room is modern but with a quirky design which means its not your standard Holiday Inn staff were helpful and teh location was great metro literally on the doorstep Price was the same as some horrid looking places ,46,2,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",646 day,48.8758981,2.3590504
Herrengasse 12 01 Innere Stadt 1010 Vienna Austria,157,3/29/2016,8.4,Radisson Blu Style Hotel Vienna, United Kingdom , Lack of proper individual control of room temperature meant it was too hot in both rooms that my group occupied Bar area not cosy ,26,1189, Excellent location Helpful reception ,6,1,7.5,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 6 nights ']",492 day,48.2101211,16.3655537
146 Praed Street Westminster Borough London W2 1EE United Kingdom,687,9/20/2016,8.2,Hilton London Paddington, Singapore , This hotel would have been nice 30 years ago but has been in steady decline ever since The furnishings and rooms are dated and tired The staff unfriendly and unwilling Lack of attention to detail e g The back doors connecting to Paddington station were locked early in the morning meaning that guests had to walk out the front of the hotel and around to access the hotel This defeated the purpose of staying close to the station Overall disappointing and dissatisfying ,84,2898, Location very convenient if needing to travel on Heathrow Express to airport but not leaving too early in the morning ,22,11,3.8,"[' Leisure trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",317 day,51.515632,-0.175737
Nicaragua 47 Sants Montju c 08029 Barcelona Spain,211,1/7/2017,8.1,Acta CITY47, United States of America , I didn t like that there were two twin beds to make one queen bed Very inconvenient and very uncomfortable ,22,2436, Friendly staff,3,1,9.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",208 day,41.383515,2.1407396
Passeig Colom 12 Ciutat Vella 08002 Barcelona Spain,156,3/8/2016,8.9,Duquesa de Cardona, United Kingdom , Coffee could have been hotter at breakfast ,9,904, Small comfortable hotel in a fabulous location Very friendly staff Excellent soundproofing from outside Very good all round but it s the location on the edge of the barrio Gotic with all It s sights and restaurants and the views over the harbour that stand out ,48,1,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",513 day,41.3798658,2.1805271
Corso Buenos Aires 33 Central Station 20124 Milan Italy,95,4/22/2016,7.6,IH Hotels Milano Puccini, United States of America , We were on the 5th floor and there was no hot water even after we mentioned this the evening before ,22,1577, Breakfast had a good selection ,7,36,6.7,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",468 day,45.4794406,9.2096756
Comte d Urgell 232 Eixample 08036 Barcelona Spain,74,4/30/2016,8.7,U232 Hotel, United Kingdom , The sink in the bathroom was blocked the water drained very slowly There was no tea or coffee facilities in the room and as we arrived after 11pm with no room service or open bar we only had the drinks and few snack in the mini bar which were not appropriate adiquate,53,873, The rooms was well presented and the beds were comfortable and it was great to have air conditioning too The location was excellent very near the metro and in easy reach of places to visit Staff were very friendly and spoke good english,44,2,8.3,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",460 day,41.3895237,2.1490307
2 Warrington Crescent Westminster Borough London W9 1ER United Kingdom,80,12/10/2015,7.8,The Colonnade, United Kingdom , This is a very old property and old fixture and fittings Lots of pillows on the bed but they were all the same choice of type of pillow would be good No bar ,35,391, Very helpful sometimes too helpful staff Great location close to tube and a few stops to the city ,20,59,7.5,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",602 day,51.5243286,-0.1846623
20 Upper Ground Southwark London SE1 9PD United Kingdom,1100,8/29/2015,9.1,Mondrian London, United Kingdom , Checkin staff think they are to cool and forgot the basics,12,3611, Location hotel lovely and clean and modern,8,2,7.9,"[' Leisure trip ', ' Couple ', ' Standard ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",705 day,51.5084036,-0.1067988
Rambla Catalunya 26 Eixample 08007 Barcelona Spain,112,6/30/2016,8.8,NH Collection Barcelona Gran Hotel Calder n, Turkey ,No Negative,0,1072, Room was too small breakfast was perfect,8,12,6.7,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",399 day,41.3894654,2.1662651
Gran V a de Les Corts Catalanes 647 Eixample 08010 Barcelona Spain,156,10/25/2016,8.5,Silken Gran Hotel Havana, United Kingdom ,No Negative,0,1354, Well located helpful staff very clean comfortable room ,10,5,8.3,"[' Leisure trip ', ' Family with young children ', ' Comfort Double or Twin Room with Extra Bed ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",282 day,41.3927101,2.1722139
Gran Via 550 Eixample 08011 Barcelona Spain,167,7/31/2016,8.8,Hotel Vueling Bcn by HC, China , Staff can do better in every aspect especially knowledge info about Barcelona ,14,1696, location is awesome Convenient to every resort but quiet hidden in gran via 1 2 min to metro station urgell ,22,4,7.1,"[' Leisure trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",368 day,41.3831641,2.1604736
129 Bayswater Road London W2 4RJ United Kingdom,153,1/17/2017,7.8,Hilton London Hyde Park, Netherlands , Bathroom to small,4,646, Food in Aubaine,4,13,8.8,"[' Business trip ', ' Solo traveler ', ' Standard Guestroom ', ' Stayed 3 nights ']",198 day,51.51046,-0.1875844
The Strand Westminster Borough London WC2N 5HX United Kingdom,359,5/30/2016,9.3,Amba Hotel Charing Cross, United States of America , The checkin process took a little too long Perhaps they could streamline it to be quicker although they did offer their guests water and drinks while we waited ,30,1694, The staff and management were extremely helpful and friendly Even though I had not paid for breakfast with my reservation they were very courteous and extended it to me ,31,1,9.2,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",430 day,51.508236,-0.1261963
2 Sylvester Path Hackney London E8 1EN United Kingdom,81,9/27/2015,7.9,Old Ship Inn Hackney, Australia , bed spring poking in my back and squeeky floor,10,272, food bar music and staff all good,8,17,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Family Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",676 day,51.5458476,-0.0554113
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,8/23/2015,8.3,Park Plaza London Riverbank, United Kingdom , Noise and disruption caused by the building work being done on the hotel,14,4684, The comfortable bed,4,1,6.3,"[' Leisure trip ', ' Group ', ' Executive Double Room River View ', ' Stayed 1 night ']",711 day,51.4913737,-0.1214194
20 28 Bolsover Street Westminster Borough London W1W 5NB United Kingdom,261,8/22/2015,8.1,Grange Fitzrovia Hotel, United Kingdom , Location wasn t very good Very hot inside and looks shabby and dark,14,1034, Staff was very good,5,1,4.6,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",712 day,51.521759,-0.1425381
14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,368,4/14/2016,7.5,Saint Georges Hotel, United States of America , The bed needed to be replaced old and worn but the rest of the room was great ,19,2092, Location location location the view was pretty awesome too Large and comfortable room by London standards Great area for walking shopping and dining safe and accessible to the tube I would definitely stay here again ,37,20,7.9,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 7 nights ']",476 day,51.517839,-0.1424476
